#Procedure: <__main__.RandomProcedure>
#Parameters:
#	Charge rate: 0.6 C
#	Charge limit: 3.8 V
#	Discharge rate: 0.2 C
#	Discharge limit: 2 V
#	Float voltage: 3.6 V
#	Float cutoff: 0.55 A
#	Nominal: 25.3 Ah
#Data:
Time,Discharge_time,Voltage,Current,Charge,Ah_V,SoC
2.6067540740186814,nan,3.54,15.183,0.01099398530717379,0.0031056455669982454,nan
5.149723854003241,nan,3.544,15.185,0.021720373115247552,2.681596952018438,nan
7.692666212999029,nan,3.548,15.184,0.03244593888718979,2.681391442985556,nan
10.235599887993885,nan,3.551,15.184,0.04317146803194587,3.575176381585225,nan
12.778470849996665,nan,3.556,15.184,0.053896732667237594,2.145052927058391,nan
15.321353222010657,nan,3.557,15.183,0.06462133907120661,10.724606403970192,nan
17.864189924002858,nan,3.56,15.185,0.07534716554891538,3.575275492569454,nan
20.4069347740151,nan,3.562,15.184,0.08607189827185589,5.36236636147085,nan
22.950020920019597,nan,3.565,15.184,0.0967980705054482,3.5753907445306328,nan
25.492612767004175,nan,3.568,15.185,0.10752286417113176,3.574931221894385,nan
28.035486578999553,nan,3.57,15.183,0.11824743447322227,5.3622851510458425,nan
30.578315535007278,nan,3.573,15.185,0.12897322827793817,3.5752646015718366,nan
33.1210760550166,nan,3.575,15.184,0.13969802709344417,5.362399407752396,nan
35.66388555301819,nan,3.578,15.184,0.15042303248723754,3.575001797931516,nan
38.206444017007016,nan,3.582,15.184,0.16114697907535042,2.6809866470282144,nan
40.74946226499742,nan,3.584,15.183,0.17187215853624993,5.362589730449162,nan
43.296442064020084,nan,3.585,15.185,0.18261546082740526,10.74330229115651,nan
45.835333316004835,nan,3.59,15.185,0.19332464517779094,2.1418368700771815,nan
48.37841805201606,nan,3.59,15.184,0.20405081146434495,nan,nan
50.920756206003716,nan,3.593,15.184,0.21477382883383067,3.5743391231617703,nan
53.463687167997705,nan,3.596,15.184,0.225499346535752,3.5751725673069683,nan
56.006655316014076,nan,3.6,15.184,0.23622502108005214,2.6814186360750374,nan
58.549873122014105,nan,3.603,15.184,0.24695174862624783,3.5755758487317575,nan
61.09203758701915,nan,3.606,15.184,0.2576740334142024,3.574094929318596,nan
63.635102091997396,nan,3.609,15.183,0.2683994079639482,3.5751248499151167,nan
66.17773719699471,nan,3.611,15.185,0.2791243840943327,5.362488065191657,nan
68.72058121202281,nan,3.614,15.183,0.2898488287277137,3.574814877794057,nan
71.26336895200075,nan,3.617,15.185,0.3005744486809262,3.575206651070698,nan
73.80604761300492,nan,3.62,15.184,0.31129890223333934,3.574817850804252,nan
76.34906774299452,nan,3.623,15.184,0.32202479602605105,3.575297930903761,nan
78.89209459500853,nan,3.626,15.184,0.3327507181707679,3.575307381572682,nan
81.43490477200248,nan,3.63,15.184,0.3434757264284002,2.6812520644080657,nan
83.97735887000454,nan,3.634,15.184,0.3541992328239733,2.680876598893274,nan
86.52041515702149,nan,3.639,15.184,0.3649252791189915,2.1452092590036793,nan
89.06358552799793,nan,3.643,15.184,0.3756518065947988,2.6816318689518224,nan
91.60623659502016,nan,3.646,15.184,0.38637614376192814,3.574779055709642,nan
94.14934394301963,nan,3.65,15.184,0.39710240542082365,2.6815654147238797,nan
96.69199903702247,nan,3.654,15.185,0.407827465865944,2.681265111280075,nan
99.23467352401349,nan,3.658,15.185,0.4185526081117658,2.6812855614554563,nan
101.77757483901223,nan,3.664,15.184,0.4292780007692494,1.787565442913864,nan
104.32042085001012,nan,3.67,15.184,0.4400031601667472,1.7875265662496933,nan
106.86284744000295,nan,3.673,15.185,0.4507272567692586,3.5746988675036704,nan
109.40571148201707,nan,3.678,15.184,0.46145249221757595,2.145047089663509,nan
111.94899358201656,nan,3.684,15.184,0.4721794909415738,1.7878331206662383,nan
114.49169927701587,nan,3.689,15.184,0.4829040585173709,2.144913515159466,nan
117.03467841501697,nan,3.696,15.184,0.4936297794149844,1.5322458425161933,nan
119.57745353801874,nan,3.701,15.185,0.5043553461490905,2.1451133468212653,nan
122.120314032014,nan,3.707,15.184,0.5150805666326527,1.7875367472604289,nan
124.6631709880021,nan,3.714,15.185,0.5258064785428413,1.5322731300269308,nan
127.20587080999394,nan,3.72,15.184,0.5365310213475981,1.7874238007927186,nan
129.74901903999853,nan,3.727,15.184,0.5472574554377063,1.5323477271583925,nan
132.29170483199414,nan,3.736,15.184,0.5579819390670567,1.191609292149996,nan
134.83472927601542,nan,3.743,15.184,0.5687078510553953,1.532273141191309,nan
137.3775990139984,nan,3.75,15.185,0.5794338168807486,1.5322808321932915,nan
139.9203480980068,nan,3.758,15.184,0.590158567461744,1.3405938226244234,nan
142.46278243500274,nan,3.767,15.185,0.6008826967415449,1.1915699199778942,nan
145.00568203799776,nan,3.775,15.184,0.6116080821781773,1.3406731795790405,nan
147.5489564310119,nan,3.784,15.184,0.6223350483958237,1.1918851352940494,nan
150.0914211400086,nan,3.793,15.184,0.6330585995462142,1.1915056833766817,nan
152.6343154979986,nan,3.803,15.184,0.643783962860581,1.0725363314366971,nan
155.2732823480037,nan,3.8,13.969,0.654023887284948,-3.4133081414555284,nan
157.8157374180155,nan,3.801,13.179,0.6633313915537494,9.307504268798361,nan
160.35897355299676,nan,3.801,12.396,0.6720886013118683,nan,nan
162.90174385899445,nan,3.801,11.666,0.6803285897534709,nan,nan
165.44553526499658,nan,3.8,11.041,0.6881302566739347,-7.801666920461145,nan
167.98714263900183,nan,3.801,10.474,0.6955249221281933,7.394665454256145,nan
